1011010111111000,45,0
1101011000001010,4,5
0110011100010001,264,3
0100101001100101,52,5
1111100011110010,81,4
0111010000011111,476,0
1111110000111110,378,7
1110000101000010,149,5
1100011000101110,132,5
1110000010010000,323,2
0101110101100110,275,3
1110110011101110,431,7
0011101010001001,225,2
1111100001100110,177,4
1011111011100010,392,1
0011110100100101,319,3
1111101101001010,69,2
1011001101101100,98,2
1001000011110110,164,2
0000110010101101,110,7
1011001000101110,367,7
1111111010101110,379,0
1111101111000100,258,1
1110000111101010,449,1
0011011110010000,427,4
0110101101100101,285,4
0000110100101000,101,1
0110111100110010,339,6
1001000011100100,216,0
1100011001000110,99,7
1011000011100000,64,6
0001111001000010,4,1
0110101000101010,399,7
0010110110101111,107,7
1101001101001000,496,2
0110100110010111,187,1
1101011101000010,204,0
0110000110001001,500,2
1000100101110110,197,6
0011010000110110,415,2
0101011100000100,131,0
0100011100101010,159,5
1101100111000010,40,2
0011101001001101,144,7
0010111011100011,325,7
1111111100100010,418,7
1000101110100110,83,2
0011111100101010,151,6
0010000001101010,95,5
1001100001110000,79,2
0101001100110001,12,1
0011011000100000,211,1
0001010011101000,255,4
0011111010100100,10,4
0001011001100101,74,6
0100000011011011,154,1
1101100001010100,329,6
0011100011000011,306,0
0001001001111011,36,1
0111110000011011,137,1
0100001110011000,287,0
0000100010000101,412,4
1011000000010010,239,3
0001011101010001,50,7
1101001010000110,323,7
0001111010111011,172,3
0100011101101000,26,2
1101010000111100,344,1
0011001111011111,25,7
1110000011101100,238,0
1010110110110110,455,5
1001000011011010,54,0
0111011010101001,33,1
0010111100110010,26,4
1100001001011110,343,0
0011001000101110,489,0
1000011110110110,309,7
0101000000110010,72,4
1000100100100000,36,7
1111010110110000,113,0
0001110110000011,343,6
0100000100000011,483,7
0001110111110001,410,7
0100000100011011,330,6
1101010011011100,460,1
1011011010011100,224,6
1100101101101110,476,6
0001000100010011,218,2
0000101001001100,402,0
1100000100111010,37,4
0000110000001101,413,4
0101001111011010,359,2
1111001001011010,343,6
1101001101011110,338,5
0010101010110001,60,7
0110101001100111,356,0
1101001000001100,5,6
1111001010100100,398,7
0101011001010100,461,5
0100111111010111,414,3
0000101101010111,286,7
0011101101010010,239,3
0100101111111010,200,7
0001010010110011,237,3
1001001011001000,479,6
0001110011111000,478,4
0101101110001110,244,5
1110110110010010,273,1
1111100000011010,345,5
1011001111010010,478,7
1110101010111010,132,7
1011110001101010,117,6
0011100111000000,356,4
0000101111100000,231,3
1111011000000100,322,6
0101010100011011,136,5
1100101101001000,187,5
1101100010000010,186,6
1100100011001100,461,3
0111110011110110,327,2
1101010110011100,25,7
0110110010000101,257,5
0001011000001000,91,6
1001101001111000,259,5
0111110111010111,238,0
0000100100100001,439,2
0000110001110011,42,2
0100101010111111,470,4
0100001010001110,55,6
0101010010001001,265,4
1111100110001000,432,3
0110101010111001,228,3
0110111110110100,473,3
1110000000101100,292,3
1110001111100110,410,3
1100111011110110,407,2
1010101000011010,14,3
0101010100011101,325,0
0011001000100011,263,2
0010110000001000,165,2
0000010100010010,219,3
1010110100100000,206,1
0010010001010010,226,1
0000100101110110,155,0
1010010100011010,479,7
0111101011100111,41,3
1101000101101000,125,7
0011010000010010,490,1
1001110101001000,153,6
1000000111010110,22,0
0111100110111010,76,0
0000011100010101,342,2
1101100111100100,392,4
0000100100011110,467,6
1000010001110010,375,4
1000100101100010,56,7
0101000101010001,118,2
1001110011001010,77,7
0011110100011011,170,4
0011000011000000,74,1
0000001111110100,280,3
1011100100001110,141,5
1001000110100000,430,0
1010011001011000,483,3
0100110111010011,63,2
1100100011000000,359,6
0110011100111010,495,5
0011001010100001,238,0
0111000111110010,386,6
0101100101101101,254,4
0100001000010011,326,3
0101010000110110,129,2
0110010110110101,177,2
0000100001110111,62,1
1010100100011010,337,0
0000010100111111,309,2
0101101100000001,371,0
0010011010010011,308,3
1111111000010100,152,1
1000111100110110,479,0
0110101110001011,190,0
0101111111010101,153,1
1100110000011000,367,0
1101110111001100,53,1
0100100011011010,461,1
0011111001001100,354,6
0100111001111001,291,1
1011000110001100,412,1
1100001111000010,478,6
1110111000110100,145,3
0110011010011101,240,5
1110101011100100,299,0
1010100101001110,6,4
0110001000001110,202,1
0001101111011101,240,4
1101110001111010,3,1
0001111000010010,206,2
0010011100111011,191,7
0011011000000000,446,2
0111111001011100,68,7
